_id,Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
1,2018,3,10,กรุงเทพมหานคร,36,22.1
2,2018,3,11,สมุทรปราการ,33.2,24.6
3,2018,3,13,ปทุมธานี,38.3,21.5
4,2018,3,14,พระนครศรีอยุธยา,37,20
5,2018,3,16,ลพบุรี,38.5,18.5
6,2018,3,18,ชัยนาท,36.5,20.8
7,2018,3,20,ชลบุรี,37,20
8,2018,3,21,ระยอง,33.6,22
9,2018,3,22,จันทบุรี,35.4,19.2
10,2018,3,23,ตราด,34.3,22.2
11,2018,3,24,ฉะเชิงเทรา,36,19.4
12,2018,3,25,ปราจีนบุรี,36.8,20.6
13,2018,3,27,สระแก้ว,37.5,20.1
14,2018,3,30,นครราชสีมา,38.2,17.8
15,2018,3,31,บุรีรัมย์,38,16.4
16,2018,3,32,สุรินทร์,38,16.8
17,2018,3,33,ศรีสะเกษ,36,16.5
18,2018,3,34,อุบลราชธานี,37.1,16
19,2018,3,36,ชัยภูมิ,38.6,19.8
20,2018,3,40,ขอนแก่น,38,16.5
21,2018,3,41,อุดรธานี,38.1,15.6
22,2018,3,42,เลย,38.4,15.5
23,2018,3,43,หนองคาย,38.2,16.3
24,2018,3,44,มหาสารคาม,38,17.7
25,2018,3,45,ร้อยเอ็ด,36.6,17
26,2018,3,46,กาฬสินธุ์,37.2,17.1
27,2018,3,47,สกลนคร,35.4,15.2
28,2018,3,48,นครพนม,35.7,14.6
29,2018,3,49,มุกดาหาร,36.3,16.3
30,2018,3,50,เชียงใหม่,37.5,12.4
31,2018,3,51,ลำพูน,39,17.4
32,2018,3,52,ลำปาง,39.9,17.8
33,2018,3,53,อุตรดิตถ์,38.5,21.3
34,2018,3,54,แพร่,38.1,19.5
35,2018,3,55,น่าน,38,15.5
36,2018,3,56,พะเยา,35.4,15.8
37,2018,3,57,เชียงราย,34.9,15.9
38,2018,3,58,แม่ฮ่องสอน,38.8,14.1
39,2018,3,60,นครสวรรค์,38.9,19.9
40,2018,3,62,กำแพงเพชร,37.5,20.5
41,2018,3,63,ตาก,39.8,12.4
42,2018,3,64,สุโขทัย,37.6,18.8
43,2018,3,65,พิษณุโลก,37,21.6
44,2018,3,66,พิจิตร,36.8,21.6
45,2018,3,67,เพชรบูรณ์,38.7,18.6
46,2018,3,70,ราชบุรี,37,20
47,2018,3,71,กาญจนบุรี,39.1,18.8
48,2018,3,72,สุพรรณบุรี,37.8,21.2
49,2018,3,73,นครปฐม,37,21
50,2018,3,76,เพชรบุรี,36.4,22.2
51,2018,3,77,ประจวบคีรีขันธ์,37.7,18.3
