YEAR,MONTH,MIN,MAX,MEAN
1970,1,0,388,24
1970,2,0,165,15
1970,3,0,198,48
1970,4,5,274,91
1970,5,47,510,213
1970,6,24,1339,258
1970,7,31,848,200
1970,8,48,1033,299
1970,9,46,857,265
1970,10,10,524,129
1970,11,0,1021,79
1970,12,0,704,78
1971,1,0,146,7
1971,2,0,213,25
1971,3,0,197,33
1971,4,0,173,66
1971,5,48,546,215
1971,6,26,1076,210
1971,7,23,693,200
1971,8,60,819,271
1971,9,65,463,209
1971,10,8,735,158
1971,11,0,865,61
1971,12,0,651,55
1972,1,0,93,4
1972,2,0,120,21
1972,3,0,197,40
1972,4,20,378,108
1972,5,6,254,90
1972,6,53,771,213
1972,7,19,914,176
1972,8,10,762,198
1972,9,62,740,270
1972,10,46,389,168
1972,11,1,659,117
1972,12,0,433,43
1973,1,0,109,6
1973,2,0,103,4
1973,3,0,370,55
1973,4,0,244,39
1973,5,40,364,178
1973,6,34,1065,184
1973,7,39,1089,225
1973,8,47,1210,226
1973,9,60,720,280
1973,10,4,593,117
1973,11,0,737,81
1973,12,0,1299,59
1974,1,0,169,6
1974,2,0,141,14
1974,3,0,213,48
1974,4,12,312,117
1974,5,43,376,173
1974,6,19,464,135
1974,7,40,736,172
1974,8,36,1101,274
1974,9,52,595,222
1974,10,23,779,201
1974,11,3,873,120
1974,12,0,838,47
1975,1,1,1239,113
1975,2,0,158,23
1975,3,0,145,33
1975,4,0,228,37
1975,5,88,516,217
1975,6,36,1718,209
1975,7,14,713,199
1975,8,35,1233,260
1975,9,70,578,247
1975,10,27,741,190
1975,11,0,617,86
1975,12,0,602,42
1976,1,0,155,2
1976,2,0,150,18
1976,3,0,221,34
1976,4,3,239,80
1976,5,79,1056,200
1976,6,19,523,130
1976,7,47,982,209
1976,8,44,673,243
1976,9,40,792,253
1976,10,72,461,197
1976,11,0,1498,114
1976,12,0,230,14
1977,1,0,288,28
1977,2,0,346,11
1977,3,0,154,26
1977,4,0,196,74
1977,5,29,382,152
1977,6,8,753,108
1977,7,35,882,170
1977,8,24,1004,227
1977,9,33,1123,256
1977,10,6,581,131
1977,11,0,759,64
1977,12,0,386,33
1978,1,0,263,28
1978,2,0,257,30
1978,3,0,117,24
1978,4,3,284,85
1978,5,84,452,201
1978,6,15,833,168
1978,7,51,957,286
1978,8,15,1276,233
1978,9,87,982,306
1978,10,5,366,99
1978,11,0,481,36
1978,12,0,391,25
1979,1,0,59,6
1979,2,0,82,14
1979,3,0,88,5
1979,4,3,469,94
1979,5,28,595,188
1979,6,29,1171,228
1979,7,20,1696,156
1979,8,29,799,192
1979,9,69,807,236
1979,10,0,402,54
1979,11,0,1076,51
1979,12,0,190,11
1980,1,0,40,1
1980,2,0,61,8
1980,3,1,146,31
1980,4,0,241,59
1980,5,21,423,192
1980,6,52,1053,256
1980,7,32,680,207
1980,8,41,1724,218
1980,9,55,613,289
1980,10,26,433,157
1980,11,0,942,72
1980,12,0,803,36
1981,1,0,77,2
1981,2,0,97,19
1981,3,0,101,24
1981,4,6,341,97
1981,5,64,467,208
1981,6,12,1111,184
1981,7,23,1191,240
1981,8,5,1285,193
1981,9,18,638,175
1981,10,25,355,133
1981,11,5,767,138
1981,12,0,674,40
1982,1,0,29,1
1982,2,0,124,16
1982,3,0,197,42
1982,4,2,369,94
1982,5,31,402,155
1982,6,22,845,157
1982,7,26,1088,185
1982,8,42,1157,215
1982,9,59,641,288
1982,10,26,383,129
1982,11,0,464,63
1982,12,0,550,30
1983,1,0,162,14
1983,2,0,34,3
1983,3,0,217,12
1983,4,0,179,25
1983,5,16,591,156
1983,6,27,1233,189
1983,7,38,929,187
1983,8,55,1028,296
1983,9,44,783,230
1983,10,47,1251,240
1983,11,0,439,102
1983,12,0,890,51
1984,1,0,193,15
1984,2,0,135,27
1984,3,0,199,32
1984,4,5,442,101
1984,5,25,561,161
1984,6,31,1264,191
1984,7,48,514,183
1984,8,6,909,207
1984,9,71,512,230
1984,10,36,474,156
1984,11,0,904,54
1984,12,0,870,47
1985,1,0,101,13
1985,2,0,192,21
1985,3,0,292,31
1985,4,17,384,111
1985,5,60,560,183
1985,6,18,1026,170
1985,7,50,580,170
1985,8,25,837,188
1985,9,4,644,241
1985,10,47,647,180
1985,11,0,558,96
1985,12,0,560,31
1986,1,0,131,7
1986,2,0,55,3
1986,3,0,106,10
1986,4,3,398,101
1986,5,57,907,229
1986,6,14,999,158
1986,7,22,875,163
1986,8,16,1314,233
1986,9,54,1028,213
1986,10,29,725,174
1986,11,0,1099,75
1986,12,0,294,29
1987,1,0,197,7
1987,2,0,86,10
1987,3,1,107,33
1987,4,1,220,66
1987,5,8,461,119
1987,6,18,1219,186
1987,7,1,682,115
1987,8,19,1082,263
1987,9,48,660,269
1987,10,3,511,132
1987,11,0,824,119
1987,12,0,890,49
1988,1,0,234,8
1988,2,4,76,18
1988,3,0,163,19
1988,4,26,274,113
1988,5,45,573,237
1988,6,28,1045,218
1988,7,28,1133,197
1988,8,47,660,206
1988,9,32,1157,215
1988,10,56,912,211
1988,11,0,1640,111
1988,12,0,256,12
